umap1,umap2,cluster,protein
8.805325,4.0654497,-1,Sphmag17G008800.1.p
11.092564,-1.4898564,115,Sphmag17G065000.1.p
8.711064,9.679866,58,Sphmag17G067300.1.p
11.211046,7.773551,104,Sphmag17G062000.1.p
1.7965441,-3.6293604,135,Sphmag17G086000.1.p
7.0111814,-6.2673573,137,Sphmag17G001200.1.p
11.194696,-9.078673,44,Sphmag17G013800.1.p
6.621594,0.46508688,-1,Sphmag17G087900.1.p
11.031704,-7.30095,52,Sphmag17G065800.1.p
-2.2907372,-7.38978,32,Sphmag17G076600.1.p
13.568481,0.11291153,-1,Sphmag17G050800.1.p
4.6757374,-0.235438,-1,Sphmag17G021500.1.p
11.582913,6.3924236,239,Sphmag17G039400.1.p
6.748623,-1.106724,-1,Sphmag17G083400.1.p
5.495952,-2.0097353,214,Sphmag17G029300.1.p
6.2656713,-6.407959,137,Sphmag17G084000.1.p
3.454349,-3.9516745,-1,Sphmag17G038500.1.p
2.5871058,-0.26881886,120,Sphmag17G067800.1.p
10.131489,5.6424046,-1,Sphmag17G008600.1.p
11.037141,7.604755,104,Sphmag17G107300.1.p
3.9609358,-3.5025012,228,Sphmag17G039900.1.p
11.129281,6.0054936,-1,Sphmag17G094100.1.p
4.0974436,-5.4031024,137,Sphmag17G033000.1.p
3.99386,-4.967468,-1,Sphmag17G079300.1.p
9.539113,0.6393044,121,Sphmag17G016500.1.p
2.9290035,-4.511157,153,Sphmag17G085700.1.p
9.815445,5.888402,-1,Sphmag17G073900.1.p
1.905724,-1.0682501,-1,Sphmag17G093700.1.p
-1.2655269,2.2375178,65,Sphmag17G049800.1.p
14.29009,2.06087,74,Sphmag17G046600.1.p
5.986725,-2.1741254,214,Sphmag17G005500.1.p
3.7865942,3.8897607,-1,Sphmag17G006900.1.p
11.119396,7.843417,104,Sphmag17G007100.1.p
3.5781693,-2.5456843,184,Sphmag17G007000.1.p
11.598852,10.112983,69,Sphmag17G051000.1.p
9.012785,-4.330634,87,Sphmag17G088700.1.p
5.9894266,-0.1779758,-1,Sphmag17G014400.1.p
4.3144903,4.3590536,140,Sphmag17G088900.1.p
8.875256,3.9364743,-1,Sphmag17G033600.1.p
2.139337,-7.514148,-1,Sphmag17G062900.1.p
11.29079,6.853296,242,Sphmag17G087700.1.p
0.48872346,-0.34775943,90,Sphmag17G026100.1.p
7.323271,2.7705622,213,Sphmag17G096800.1.p
19.447226,-0.049261466,4,Sphmag17G069400.1.p
-5.932188,1.1416694,14,Sphmag17G065500.1.p
7.795233,2.8497548,-1,Sphmag17G031600.1.p
1.9593003,-1.0292797,-1,Sphmag17G073200.1.p
8.107339,-6.1443987,137,Sphmag17G083200.1.p
6.5638895,0.21966459,210,Sphmag17G023700.1.p
6.5581093,-5.9634857,137,Sphmag17G033800.1.p
14.740327,2.7026782,71,Sphmag17G044700.1.p
10.334365,5.931241,-1,Sphmag17G109900.1.p
-1.2816917,2.2466333,65,Sphmag17G049200.1.p
14.49441,3.8277173,68,Sphmag17G044500.1.p
0.08005534,10.02404,23,Sphmag17G083800.1.p
5.1870074,-1.9469748,-1,Sphmag17G095000.1.p
0.0400717,-0.95064974,89,Sphmag17G027100.1.p
6.110787,2.5835044,-1,Sphmag17G094200.1.p
-1.359513,-7.2019396,39,Sphmag17G039700.1.p
12.216171,6.8361397,-1,Sphmag17G020400.1.p
8.214658,-6.308585,137,Sphmag17G029500.1.p
6.257676,1.3707633,188,Sphmag17G100000.1.p
2.6660652,-4.3036,-1,Sphmag17G062700.1.p
10.956742,-1.0817151,116,Sphmag17G025200.1.p
2.646447,-0.2417233,-1,Sphmag17G050500.1.p
8.739763,5.4910054,106,Sphmag17G036300.1.p
5.2878466,-1.4619046,219,Sphmag17G059500.1.p
4.812298,0.023874626,-1,Sphmag17G091900.1.p
6.3372946,-2.905041,160,Sphmag17G022100.1.p
6.652647,-5.8950944,137,Sphmag17G079000.1.p
6.977355,1.5534452,164,Sphmag17G071100.1.p
5.312242,-3.016827,-1,Sphmag17G045500.1.p
3.809937,4.2453537,146,Sphmag17G078100.1.p
9.300435,3.3612413,175,Sphmag17G015000.1.p
8.812091,4.1570196,245,Sphmag17G090400.1.p
7.4214573,2.8512042,-1,Sphmag17G096500.1.p
2.2661574,-1.013395,-1,Sphmag17G041300.1.p
7.0283103,-2.092812,150,Sphmag17G032700.1.p
5.086152,0.023577087,-1,Sphmag17G041400.1.p
4.9761643,-3.2902198,251,Sphmag17G000900.1.p
7.860775,-6.594883,137,Sphmag17G044000.1.p
3.70875,-4.0745487,-1,Sphmag17G105300.1.p
6.3904495,0.27765015,-1,Sphmag17G013600.1.p
6.712443,-6.0222654,137,Sphmag17G044200.1.p
10.058229,0.77064025,110,Sphmag17G019100.1.p
7.68269,-6.474733,137,Sphmag17G029900.1.p
13.486008,-2.6369414,56,Sphmag17G104200.1.p
-0.44965523,-10.106647,12,Sphmag17G018400.1.p
11.01095,6.9076924,242,Sphmag17G021100.1.p
4.6539025,-9.083138,63,Sphmag17G061000.1.p
9.9435625,5.276155,233,Sphmag17G106600.1.p
10.57263,9.871229,70,Sphmag17G002400.1.p
7.755373,-6.108784,137,Sphmag17G009500.1.p
3.7013772,-3.0505116,-1,Sphmag17G005800.1.p
11.251536,6.0701246,238,Sphmag17G052600.1.p
6.5363655,2.2236807,-1,Sphmag17G064300.1.p
8.4054365,3.7921212,221,Sphmag17G043300.1.p
5.4113007,-0.17750537,212,Sphmag17G060200.1.p
1.1665212,-0.6774479,123,Sphmag17G002300.1.p
7.8609776,-3.9357023,72,Sphmag17G043400.1.p
12.391706,-4.1381288,40,Sphmag17G038800.1.p
7.9752445,2.6016061,177,Sphmag17G045800.1.p
5.8841734,2.7195063,-1,Sphmag17G041000.1.p
3.156007,-3.4803283,196,Sphmag17G015100.1.p
11.340803,6.690838,242,Sphmag17G088800.1.p
6.0644383,2.849201,-1,Sphmag17G009400.1.p
13.399784,0.43180108,82,Sphmag17G101100.1.p
4.4271274,-1.7392708,154,Sphmag17G075500.1.p
8.777109,4.191413,245,Sphmag17G082500.1.p
14.462915,3.7758555,68,Sphmag17G048900.1.p
7.432782,0.07522535,191,Sphmag17G077200.1.p
1.2129406,-13.395983,2,Sphmag17G072200.1.p
-2.2680838,-7.345759,32,Sphmag17G095900.1.p
13.503982,-2.5880148,56,Sphmag17G109000.1.p
5.3548703,0.3739332,-1,Sphmag17G088600.1.p
9.866662,-0.08432745,-1,Sphmag17G004700.1.p
11.232215,6.0688086,238,Sphmag17G058900.1.p
4.7542267,-2.8100317,-1,Sphmag17G084300.1.p
3.7035034,-7.312445,78,Sphmag17G024000.1.p
4.4294233,0.22770695,158,Sphmag17G103300.1.p
3.8466597,-4.6078486,248,Sphmag17G046700.1.p
7.9184523,3.3168902,217,Sphmag17G021900.1.p
7.2829714,1.0063685,-1,Sphmag17G065600.1.p
5.28374,-5.2092934,137,Sphmag17G016000.1.p
-0.9207295,2.299164,65,Sphmag17G103900.1.p
4.7361,-2.97603,-1,Sphmag17G056200.1.p
7.0506287,-5.33073,137,Sphmag17G073700.1.p
6.7229047,3.7321115,215,Sphmag17G053000.1.p
3.8039322,2.4038389,79,Sphmag17G107100.1.p
4.2479787,-0.19343835,148,Sphmag17G034600.1.p
3.4348137,8.483853,27,Sphmag17G041700.1.p
10.204013,2.5976918,-1,Sphmag17G045700.1.p
6.4647965,0.005153975,-1,Sphmag17G098000.1.p
7.9035153,0.55513704,189,Sphmag17G047300.1.p
5.0442014,3.2986286,-1,Sphmag17G102700.1.p
10.692037,-1.4759659,126,Sphmag17G068700.1.p
6.8075356,-4.9150434,137,Sphmag17G042800.1.p
3.8332171,-4.617384,248,Sphmag17G017900.1.p
17.112555,-0.5950792,6,Sphmag17G103600.1.p
6.3795004,0.557029,-1,Sphmag17G103200.1.p
-6.5231442,-1.3266817,11,Sphmag17G100500.1.p
11.628697,6.356457,239,Sphmag17G072100.1.p
-1.4831568,3.3075995,64,Sphmag17G102100.1.p
3.8089995,-3.481106,228,Sphmag17G041500.1.p
4.1877375,-3.9304788,246,Sphmag17G079700.1.p
7.025625,-3.3443239,-1,Sphmag17G039600.1.p
11.723966,0.7955286,73,Sphmag17G074700.1.p
2.5970142,11.540671,18,Sphmag17G097200.1.p
13.558222,0.121838614,-1,Sphmag17G050000.1.p
7.995392,3.9396775,217,Sphmag17G086100.1.p
1.8637505,-4.270818,136,Sphmag17G035000.1.p
9.180025,3.3450894,175,Sphmag17G015600.1.p
6.741329,0.5041873,195,Sphmag17G025700.1.p
9.267641,3.286096,175,Sphmag17G015700.1.p
4.5584784,-5.4561157,137,Sphmag17G056100.1.p
4.085211,4.1464357,-1,Sphmag17G044800.1.p
4.40872,-5.093543,137,Sphmag17G086800.1.p
5.9875784,-6.3980737,137,Sphmag17G033200.1.p
6.4326353,-5.1124845,137,Sphmag17G073500.1.p
9.255339,3.225528,175,Sphmag17G015200.1.p
14.747011,2.6969092,71,Sphmag17G077500.1.p
11.124789,6.1240687,-1,Sphmag17G030000.1.p
5.331771,-2.2594354,-1,Sphmag17G076400.1.p
4.6397467,0.42666784,-1,Sphmag17G013900.1.p
11.393651,7.3332644,-1,Sphmag17G102900.1.p
-1.9130424,-7.002704,34,Sphmag17G013400.1.p
10.722656,2.0370922,95,Sphmag17G007700.1.p
5.7879066,-4.826421,137,Sphmag17G064100.1.p
5.8657475,1.4979934,207,Sphmag17G062800.1.p
11.084654,6.879822,242,Sphmag17G083100.1.p
4.7615685,0.8813519,-1,Sphmag17G012500.1.p
6.995893,5.494928,59,Sphmag17G065300.1.p
2.6326816,-0.1678933,-1,Sphmag17G086700.1.p
8.135602,-0.8700582,149,Sphmag17G090000.1.p
3.2536786,-4.2101502,247,Sphmag17G094900.1.p
6.891596,5.5060396,59,Sphmag17G104600.1.p
8.995149,4.7761197,-1,Sphmag17G090300.1.p
9.95144,-0.17054935,128,Sphmag17G026500.1.p
1.2875314,-0.7959149,123,Sphmag17G079100.1.p
11.596002,10.114669,69,Sphmag17G052200.1.p
11.83253,10.269171,69,Sphmag17G101200.1.p
11.185191,-1.9891927,-1,Sphmag17G055200.1.p
-1.1208075,-7.074839,-1,Sphmag17G086200.1.p
12.737047,0.6995951,81,Sphmag17G049400.1.p
-1.3122044,2.216024,65,Sphmag17G050700.1.p
7.731207,-1.7160703,132,Sphmag17G093500.1.p
5.810392,1.946542,206,Sphmag17G010500.1.p
2.3063426,0.27044097,-1,Sphmag17G023000.1.p
6.9686317,-2.5503607,162,Sphmag17G035300.1.p
7.1733403,2.0788615,211,Sphmag17G000600.1.p
3.6156454,-4.988533,209,Sphmag17G057700.1.p
10.810314,8.159416,104,Sphmag17G096000.1.p
9.650662,5.1315317,233,Sphmag17G034900.1.p
5.6122127,-3.4491968,178,Sphmag17G089300.1.p
10.161639,2.3793094,112,Sphmag17G003700.1.p
10.527926,-5.508764,53,Sphmag17G093900.1.p
-0.4371341,-10.114298,12,Sphmag17G017300.1.p
5.413528,-4.418765,-1,Sphmag17G008100.1.p
11.683136,-0.58054924,83,Sphmag17G030100.1.p
9.306807,12.040924,30,Sphmag17G071600.1.p
3.924538,-2.4164882,-1,Sphmag17G094300.1.p
3.5570858,-3.846682,-1,Sphmag17G014600.1.p
9.769965,-0.33693805,-1,Sphmag17G018100.1.p
4.295496,-4.366706,-1,Sphmag17G023400.1.p
2.9039419,-1.2796372,-1,Sphmag17G091000.1.p
3.7801054,2.5588748,79,Sphmag17G078600.1.p
-3.484746,2.1494458,43,Sphmag17G107500.1.p
-6.4462953,-2.4951057,10,Sphmag17G032000.1.p
6.4623523,-0.6011423,230,Sphmag17G105400.1.p
6.43049,-2.7282379,160,Sphmag17G082800.1.p
-1.9023325,-7.017739,34,Sphmag17G058600.1.p
-1.7742207,5.7244945,29,Sphmag17G004100.1.p
6.7259254,-0.3717334,-1,Sphmag17G008500.1.p
4.434053,4.3600483,140,Sphmag17G081700.1.p
0.5060902,-0.36322552,90,Sphmag17G073000.1.p
0.53054506,-0.37444082,90,Sphmag17G072700.1.p
18.453094,2.7358372,3,Sphmag17G097800.1.p
0.8570212,0.7180395,75,Sphmag17G095300.1.p
3.620357,4.1460443,146,Sphmag17G034300.1.p
1.8896284,-4.012927,136,Sphmag17G010400.1.p
4.7096,-3.7991796,-1,Sphmag17G042100.1.p
14.171612,1.8224689,74,Sphmag17G006200.1.p
5.8174067,3.1891503,-1,Sphmag17G084900.1.p
4.6086736,-3.53407,-1,Sphmag17G045100.1.p
13.421401,0.46710536,82,Sphmag17G102300.1.p
17.004517,-0.47910678,6,Sphmag17G012300.1.p
0.8625758,0.6711623,75,Sphmag17G074000.1.p
6.110639,1.7233236,-1,Sphmag17G058100.1.p
3.2099168,-4.3051,247,Sphmag17G021000.1.p
6.677058,1.5739049,-1,Sphmag17G099300.1.p
3.9155908,-3.3021827,-1,Sphmag17G070300.1.p
3.874297,-4.644462,248,Sphmag17G041200.1.p
5.806545,2.435006,-1,Sphmag17G068500.1.p
8.906645,4.078597,-1,Sphmag17G110000.1.p
3.3669307,-3.0994391,184,Sphmag17G025900.1.p
11.403874,7.0867743,-1,Sphmag17G081500.1.p
11.667806,-0.5922689,83,Sphmag17G030200.1.p
6.115053,-3.2500188,-1,Sphmag17G048700.1.p
10.87451,6.2272835,-1,Sphmag17G049600.1.p
7.4745736,1.9937906,211,Sphmag17G078800.1.p
11.177575,6.310168,-1,Sphmag17G093100.1.p
5.4956503,-2.8729777,-1,Sphmag17G046200.1.p
4.8500943,-1.5700617,-1,Sphmag17G085000.1.p
14.1005,1.707175,74,Sphmag17G000300.1.p
4.1707983,-3.8037653,-1,Sphmag17G027500.1.p
7.9364467,-6.4663687,137,Sphmag17G091800.1.p
9.854598,0.6427001,110,Sphmag17G082100.1.p
6.2705226,0.35315716,232,Sphmag17G027000.1.p
-0.6091302,1.7932674,65,Sphmag17G093300.1.p
4.407455,-2.5914428,-1,Sphmag17G095100.1.p
9.233395,0.8803959,-1,Sphmag17G037600.1.p
3.2066627,-4.2310576,247,Sphmag17G107200.1.p
6.7469306,-5.9092274,137,Sphmag17G014100.1.p
2.4454024,-4.330616,144,Sphmag17G102600.1.p
10.596271,3.5098617,94,Sphmag17G017200.1.p
3.20062,-4.1991596,247,Sphmag17G094800.1.p
0.7072265,-1.2741092,111,Sphmag17G105100.1.p
-1.54156,3.2542074,64,Sphmag17G100200.1.p
8.051064,0.26905957,189,Sphmag17G102000.1.p
5.8072515,1.7281379,206,Sphmag17G041600.1.p
8.967314,12.3757515,30,Sphmag17G057100.1.p
-6.363176,1.1775223,14,Sphmag17G080200.1.p
5.4355817,-2.01737,214,Sphmag17G003100.1.p
2.9255266,13.548115,-1,Sphmag17G077600.1.p
5.168795,-4.0420146,-1,Sphmag17G003800.1.p
8.513712,-0.60880196,168,Sphmag17G108200.1.p
2.4368782,0.06209113,114,Sphmag17G010800.1.p
3.715283,-7.2858543,78,Sphmag17G024500.1.p
5.8050833,-1.6127291,-1,Sphmag17G067900.1.p
11.400015,6.8639555,242,Sphmag17G007900.1.p
8.267058,2.3914323,170,Sphmag17G091500.1.p
11.253645,6.0652876,238,Sphmag17G007800.1.p
10.713162,6.2382307,-1,Sphmag17G061700.1.p
13.426472,-6.3101416,36,Sphmag17G012100.1.p
8.7394495,3.6779447,221,Sphmag17G047600.1.p
11.466796,6.856807,-1,Sphmag17G031300.1.p
6.097018,2.3297107,-1,Sphmag17G082700.1.p
5.5035243,-4.8653994,137,Sphmag17G082200.1.p
9.182451,3.9508257,-1,Sphmag17G098700.1.p
7.5131273,2.0912588,211,Sphmag17G053300.1.p
7.5570316,3.450277,-1,Sphmag17G096300.1.p
3.1680293,-6.7660027,100,Sphmag17G060300.1.p
7.0450535,-2.199182,150,Sphmag17G107700.1.p
6.892028,-5.561037,137,Sphmag17G072400.1.p
6.8981066,-2.5530837,162,Sphmag17G045900.1.p
5.9415245,-6.507324,137,Sphmag17G020100.1.p
4.465581,-5.495078,137,Sphmag17G026300.1.p
3.9975631,-4.316129,-1,Sphmag17G072800.1.p
7.8622594,-0.26936537,-1,Sphmag17G096900.1.p
9.057541,12.282949,30,Sphmag17G078300.1.p
6.3502083,-2.8431742,160,Sphmag17G056000.1.p
7.3835745,1.4757378,211,Sphmag17G061100.1.p
5.109103,-3.9347918,-1,Sphmag17G097500.1.p
8.354438,-5.9382086,137,Sphmag17G031200.1.p
10.302316,0.93247664,105,Sphmag17G058700.1.p
3.7286835,-1.4350426,-1,Sphmag17G045400.1.p
14.50085,3.8149014,68,Sphmag17G011300.1.p
0.07105934,10.034943,23,Sphmag17G018000.1.p
5.218885,0.9633477,200,Sphmag17G095400.1.p
5.079137,-0.78377014,-1,Sphmag17G039200.1.p
6.39779,1.268747,-1,Sphmag17G018800.1.p
7.965388,-2.23061,133,Sphmag17G062100.1.p
11.164723,-0.3490343,88,Sphmag17G029200.1.p
3.705805,-7.3099732,78,Sphmag17G024200.1.p
8.518551,2.321426,-1,Sphmag17G047500.1.p
9.405999,4.5412965,243,Sphmag17G070600.1.p
8.510238,-0.6399896,168,Sphmag17G105000.1.p
5.1841807,3.3179228,-1,Sphmag17G027700.1.p
5.0427246,1.3064147,181,Sphmag17G021800.1.p
4.5285764,-3.4837258,252,Sphmag17G081400.1.p
8.056439,0.15449266,189,Sphmag17G102500.1.p
3.276988,-4.5124846,247,Sphmag17G084100.1.p
9.584454,4.834522,-1,Sphmag17G087400.1.p
11.037604,6.3203735,241,Sphmag17G106800.1.p
4.732599,-3.0858395,-1,Sphmag17G055900.1.p
5.2342916,-5.953037,137,Sphmag17G040800.1.p
3.9051754,-4.408825,-1,Sphmag17G022600.1.p
3.0318408,0.86287844,99,Sphmag17G076500.1.p
6.7105994,0.7379152,-1,Sphmag17G073100.1.p
4.8633175,-4.9779944,137,Sphmag17G042600.1.p
8.760754,1.2137336,-1,Sphmag17G027400.1.p
4.482367,-3.081907,-1,Sphmag17G091700.1.p
6.920906,-5.8416605,137,Sphmag17G003900.1.p
3.181328,-3.901605,197,Sphmag17G005700.1.p
-0.7845162,-5.1256766,61,Sphmag17G001500.1.p
13.506117,0.62043303,82,Sphmag17G101300.1.p
9.555348,6.0308137,-1,Sphmag17G108500.1.p
8.286173,-0.17383708,-1,Sphmag17G099100.1.p
3.3763266,-5.1141644,-1,Sphmag17G064800.1.p
2.6106122,-1.9637482,-1,Sphmag17G014200.1.p
2.5312831,-2.6512713,130,Sphmag17G067700.1.p
9.525334,5.441776,222,Sphmag17G047400.1.p
6.7527194,-4.1513014,-1,Sphmag17G069900.1.p
6.689081,-0.6838401,230,Sphmag17G063400.1.p
1.6454482,-3.1277373,-1,Sphmag17G016300.1.p
2.1549432,-3.7583992,135,Sphmag17G010100.1.p
4.1087894,-0.8643326,-1,Sphmag17G061800.1.p
4.0120473,4.270143,-1,Sphmag17G056400.1.p
0.83286583,-3.3513083,-1,Sphmag17G064500.1.p
10.7055025,6.347849,-1,Sphmag17G056600.1.p
3.7543006,0.24884911,-1,Sphmag17G040100.1.p
6.4706306,-5.655672,137,Sphmag17G073600.1.p
6.0776114,0.9182031,198,Sphmag17G109400.1.p
5.0484376,-3.4523845,251,Sphmag17G084600.1.p
8.781863,3.9512239,245,Sphmag17G029800.1.p
3.8300505,-4.069362,-1,Sphmag17G083600.1.p
6.4242105,3.123747,-1,Sphmag17G023500.1.p
7.238379,0.86100835,-1,Sphmag17G081800.1.p
6.966178,0.769837,194,Sphmag17G023200.1.p
4.5780125,-3.6777267,251,Sphmag17G029100.1.p
11.8271885,10.265103,69,Sphmag17G101400.1.p
1.8533754,0.047583193,-1,Sphmag17G010900.1.p
6.156139,-3.7990682,97,Sphmag17G049100.1.p
4.8333764,-4.8977895,137,Sphmag17G046500.1.p
14.228653,1.8960215,74,Sphmag17G109500.1.p
8.350494,0.12872568,173,Sphmag17G099000.1.p
3.9870715,4.1561375,-1,Sphmag17G071000.1.p
9.973856,-0.4123952,-1,Sphmag17G078700.1.p
13.570806,0.11252629,-1,Sphmag17G051900.1.p
5.6765957,2.7028213,-1,Sphmag17G048300.1.p
11.10409,6.593444,-1,Sphmag17G038300.1.p
7.6332684,3.7555244,-1,Sphmag17G075800.1.p
8.418053,4.1158614,221,Sphmag17G109600.1.p
4.889801,0.96467024,-1,Sphmag17G063100.1.p
6.3034453,-0.37618285,-1,Sphmag17G011400.1.p
11.345363,6.2760105,-1,Sphmag17G051500.1.p
13.502232,-2.616855,56,Sphmag17G108300.1.p
6.7575045,5.86743,59,Sphmag17G096600.1.p
5.6745152,1.3244892,-1,Sphmag17G068400.1.p
8.230794,4.0807705,-1,Sphmag17G081600.1.p
2.9565523,3.4295824,-1,Sphmag17G045300.1.p
13.687099,0.9645906,80,Sphmag17G012400.1.p
2.4009461,-0.26128066,120,Sphmag17G068200.1.p
1.5773607,-1.0547663,122,Sphmag17G053400.1.p
7.46329,-6.7103796,137,Sphmag17G094400.1.p
2.925474,13.547863,-1,Sphmag17G077400.1.p
10.212295,2.1149337,-1,Sphmag17G007200.1.p
7.8816214,1.3095036,-1,Sphmag17G011100.1.p
10.84513,5.27872,-1,Sphmag17G086600.1.p
10.529377,-0.9512918,-1,Sphmag17G055500.1.p
-0.88023126,2.10572,65,Sphmag17G014500.1.p
3.703436,-7.308584,78,Sphmag17G024400.1.p
3.4149148,-5.147299,209,Sphmag17G068600.1.p
-1.4998252,3.1646297,64,Sphmag17G052900.1.p
17.072002,-0.5513859,6,Sphmag17G097400.1.p
7.503204,3.1747615,213,Sphmag17G042200.1.p
11.473414,6.956127,242,Sphmag17G058800.1.p
6.4105105,0.34485868,-1,Sphmag17G059400.1.p
5.493003,3.0302942,-1,Sphmag17G043800.1.p
3.485722,-3.2714715,-1,Sphmag17G089500.1.p
8.885577,12.458605,30,Sphmag17G068800.1.p
3.6090028,4.272628,146,Sphmag17G059100.1.p
10.331558,0.91472805,105,Sphmag17G058400.1.p
11.875733,6.3974614,239,Sphmag17G063800.1.p
4.7045264,4.42673,140,Sphmag17G013700.1.p
5.302241,2.2352018,-1,Sphmag17G074300.1.p
5.636372,3.1548688,-1,Sphmag17G071800.1.p
-0.43097234,-10.11561,12,Sphmag17G017800.1.p
7.4061437,-6.5229297,137,Sphmag17G019900.1.p
2.9990778,-5.2418437,-1,Sphmag17G059600.1.p
7.3177915,2.8247426,213,Sphmag17G063300.1.p
4.629448,-3.6764946,251,Sphmag17G046100.1.p
8.243869,4.583063,166,Sphmag17G095500.1.p
8.042376,3.7842712,217,Sphmag17G067400.1.p
5.173472,-1.9088898,-1,Sphmag17G094700.1.p
0.55152005,-1.2709727,111,Sphmag17G092800.1.p
-1.2705599,2.2483325,65,Sphmag17G052500.1.p
4.888811,-2.6141734,-1,Sphmag17G006400.1.p
4.4277244,-4.303733,-1,Sphmag17G040300.1.p
8.977354,12.364417,30,Sphmag17G069700.1.p
4.858199,9.285588,-1,Sphmag17G035800.1.p
11.215001,6.024868,238,Sphmag17G052000.1.p
5.4624166,-4.074883,-1,Sphmag17G098300.1.p
6.572513,-4.926983,137,Sphmag17G066700.1.p
9.574674,-0.02944304,-1,Sphmag17G055000.1.p
5.4612255,2.5150347,-1,Sphmag17G020000.1.p
4.944562,-4.9802613,137,Sphmag17G043100.1.p
2.8429272,-0.36232373,119,Sphmag17G068900.1.p
-1.0105075,-7.2487087,38,Sphmag17G093400.1.p
4.914581,-3.6152644,251,Sphmag17G053600.1.p
-1.3131198,11.431199,1,Sphmag17G057600.1.p
5.855615,-0.8107325,-1,Sphmag17G026700.1.p
9.539796,5.7084785,-1,Sphmag17G019000.1.p
3.6602576,4.3670087,146,Sphmag17G077900.1.p
11.375987,6.8968325,242,Sphmag17G020600.1.p
6.1760826,-5.339777,137,Sphmag17G069800.1.p
5.946929,2.0429907,-1,Sphmag17G031700.1.p
10.028919,-1.1206528,-1,Sphmag17G015300.1.p
9.236429,3.3730004,175,Sphmag17G015400.1.p
8.582782,-2.9397266,76,Sphmag17G067100.1.p
6.393839,-5.357973,137,Sphmag17G082600.1.p
7.0201344,-6.8591237,137,Sphmag17G066200.1.p
6.7148,0.1850246,-1,Sphmag17G063600.1.p
2.947361,-0.32278842,119,Sphmag17G005600.1.p
8.754184,5.488902,106,Sphmag17G036200.1.p
8.085614,3.472756,217,Sphmag17G003300.1.p
6.2761526,-0.09195364,232,Sphmag17G037900.1.p
10.6212635,-1.4826002,126,Sphmag17G076000.1.p
4.030591,-4.34234,248,Sphmag17G037700.1.p
5.8559046,-0.5879801,226,Sphmag17G012900.1.p
11.214778,6.859236,242,Sphmag17G076800.1.p
5.936775,2.1398425,-1,Sphmag17G028800.1.p
-3.3771307,2.2454114,43,Sphmag17G107900.1.p
5.798835,2.2890396,-1,Sphmag17G022200.1.p
3.463726,-2.905126,184,Sphmag17G107600.1.p
-0.47014934,-10.077636,12,Sphmag17G035900.1.p
4.9813237,-2.7879925,249,Sphmag17G047700.1.p
5.0899177,-3.6636977,-1,Sphmag17G001600.1.p
11.113929,-9.000637,44,Sphmag17G085900.1.p
10.320921,-0.8221409,124,Sphmag17G047000.1.p
5.2522774,0.35469884,-1,Sphmag17G039100.1.p
10.846443,5.990169,-1,Sphmag17G004400.1.p
16.326967,4.824971,17,Sphmag17G101600.1.p
11.735382,6.416843,239,Sphmag17G080500.1.p
4.873046,-1.2410669,155,Sphmag17G032600.1.p
2.6577735,-5.891854,141,Sphmag17G037500.1.p
11.595302,9.819957,69,Sphmag17G070900.1.p
1.1257919,-1.1583024,-1,Sphmag17G095700.1.p
11.136657,-0.8034238,-1,Sphmag17G012200.1.p
10.8428335,8.133403,104,Sphmag17G051800.1.p
7.315828,-6.192657,137,Sphmag17G016800.1.p
13.540369,-2.4225047,56,Sphmag17G076700.1.p
9.037535,2.4116063,129,Sphmag17G088400.1.p
1.8487546,-4.279208,136,Sphmag17G035100.1.p
5.865304,-3.0755165,-1,Sphmag17G074400.1.p
8.71321,-3.0341804,76,Sphmag17G086400.1.p
6.8138866,-0.90790945,-1,Sphmag17G066900.1.p
5.6790643,-4.7521048,137,Sphmag17G065100.1.p
-0.4374026,-10.116257,12,Sphmag17G022900.1.p
5.114784,-5.4683833,137,Sphmag17G082400.1.p
3.8694007,-4.4560966,248,Sphmag17G093200.1.p
8.81931,-4.587298,87,Sphmag17G064000.1.p
6.665198,-2.6397953,-1,Sphmag17G065900.1.p
3.4586284,-3.424757,-1,Sphmag17G082900.1.p
5.53172,5.7571464,67,Sphmag17G010700.1.p
10.37609,2.8588223,113,Sphmag17G008000.1.p
5.615019,1.9980857,-1,Sphmag17G000800.1.p
5.100624,-2.0782495,214,Sphmag17G089100.1.p
5.969073,1.9576066,-1,Sphmag17G001700.1.p
2.895075,-4.8243794,-1,Sphmag17G053900.1.p
5.7833033,2.666574,-1,Sphmag17G066000.1.p
3.2577336,-4.174786,-1,Sphmag17G094600.1.p
9.375134,4.9450083,-1,Sphmag17G079500.1.p
1.5362381,-0.13645297,-1,Sphmag17G106000.1.p
6.2561874,0.97434384,-1,Sphmag17G043000.1.p
13.515836,-2.583823,56,Sphmag17G108900.1.p
8.457805,-6.0606456,137,Sphmag17G060100.1.p
1.2201085,-1.0964426,-1,Sphmag17G092400.1.p
5.5198655,1.9763352,-1,Sphmag17G037200.1.p
4.5201335,0.6881788,158,Sphmag17G077800.1.p
4.0543876,-2.8228323,185,Sphmag17G022000.1.p
6.5421767,3.7622254,-1,Sphmag17G043600.1.p
11.702259,6.4587135,-1,Sphmag17G005000.1.p
6.355324,3.2192147,-1,Sphmag17G061200.1.p
3.236714,-4.376706,247,Sphmag17G016400.1.p
3.2761128,-4.1997156,-1,Sphmag17G094500.1.p
10.953581,-1.0580168,116,Sphmag17G006000.1.p
4.0515246,-3.9036822,246,Sphmag17G106100.1.p
